time_close,time_period_start,time_period_end,time_open,price_open,price_high,price_low,price_close,volume_traded,trades_count
2022-09-06 23:59:59.921948+00:00,2022-09-06T00:00:00.0000000Z,2022-09-07T00:00:00.0000000Z,2022-09-06T00:00:00.1527670Z,19794.59,20190.95,18662.0,18790.91,54205.69802193,855839
2022-09-07 23:59:59.920104+00:00,2022-09-07T00:00:00.0000000Z,2022-09-08T00:00:00.0000000Z,2022-09-07T00:00:00.7052420Z,18790.77,19466.09,18524.9,19293.52,37145.46367312,735730
2022-09-08 23:59:59.782583+00:00,2022-09-08T00:00:00.0000000Z,2022-09-09T00:00:00.0000000Z,2022-09-08T00:00:00.4276410Z,19293.03,19465.0,19014.43,19321.87,29805.01544328,639144
2022-09-09 23:59:59.454317+00:00,2022-09-09T00:00:00.0000000Z,2022-09-10T00:00:00.0000000Z,2022-09-09T00:00:00.2578690Z,19322.56,21633.5,19294.49,21364.5,62425.10076917,919285
2022-09-10 23:59:59.467398+00:00,2022-09-10T00:00:00.0000000Z,2022-09-11T00:00:00.0000000Z,2022-09-10T00:00:00.1390860Z,21366.61,21833.0,21121.6,21651.52,25069.24948383,570082
2022-09-11 23:59:59.800637+00:00,2022-09-11T00:00:00.0000000Z,2022-09-12T00:00:00.0000000Z,2022-09-11T00:00:00.4391410Z,21656.03,21874.5,21356.37,21831.72,20278.02208702,465834
2022-09-12 23:59:59.886135+00:00,2022-09-12T00:00:00.0000000Z,2022-09-13T00:00:00.0000000Z,2022-09-12T00:00:00.2240000Z,21835.93,22495.0,21551.212,22402.71,43179.36616915,730946
2022-09-13 23:59:59.827596+00:00,2022-09-13T00:00:00.0000000Z,2022-09-14T00:00:00.0000000Z,2022-09-13T00:00:00.1156200Z,22402.58,22806.5,19855.0,20174.78,63048.67238024,872130
2022-09-14 23:59:59.813216+00:00,2022-09-14T00:00:00.0000000Z,2022-09-15T00:00:00.0000000Z,2022-09-14T00:00:00.0861700Z,20174.78,20545.0,19610.0,20227.77,39309.32209504,626466
2022-09-15 23:59:59.564563+00:00,2022-09-15T00:00:00.0000000Z,2022-09-16T00:00:00.0000000Z,2022-09-15T00:00:00.1004170Z,20227.7,20432.0,19482.5,19703.67,34075.97159722,613413
2022-09-16 23:59:59.906299+00:00,2022-09-16T00:00:00.0000000Z,2022-09-17T00:00:00.0000000Z,2022-09-16T00:00:00.1687210Z,19703.65,19890.95,19305.0,19801.04,27229.96042738,534332
2022-09-17 23:59:59.445809+00:00,2022-09-17T00:00:00.0000000Z,2022-09-18T00:00:00.0000000Z,2022-09-17T00:00:00.1160000Z,19802.0,20197.8,19748.89,20113.37,16208.61410414,443992
2022-09-18 23:59:59.872454+00:00,2022-09-18T00:00:00.0000000Z,2022-09-19T00:00:00.0000000Z,2022-09-18T00:00:00.0999350Z,20113.37,20122.75,19335.57,19417.64,23508.53587208,514416
2022-09-19 23:59:59.489073+00:00,2022-09-19T00:00:00.0000000Z,2022-09-20T00:00:00.0000000Z,2022-09-19T00:00:00.1678970Z,19417.56,19689.62,18223.9,19540.38,48926.81338446,764983
2022-09-20 23:59:59.681202+00:00,2022-09-20T00:00:00.0000000Z,2022-09-21T00:00:00.0000000Z,2022-09-20T00:00:00.2171680Z,19538.31,19638.46,18711.5,18876.91,40182.17459689,621670
2022-09-21 23:59:59.996798+00:00,2022-09-21T00:00:00.0000000Z,2022-09-22T00:00:00.0000000Z,2022-09-21T00:00:00.0384810Z,18876.14,19958.0,18135.0,18462.64,71011.09121382,969389
2022-09-22 23:59:59.265627+00:00,2022-09-22T00:00:00.0000000Z,2022-09-23T00:00:00.0000000Z,2022-09-22T00:00:00.0329740Z,18462.66,19541.0,18357.0,19401.25,53447.51549717,836629
2022-09-23 23:59:59.881717+00:00,2022-09-23T00:00:00.0000000Z,2022-09-24T00:00:00.0000000Z,2022-09-23T00:00:00.0534760Z,19399.93,19500.0,18529.0,19286.01,43142.14964921,781771
2022-09-24 23:59:58.286638+00:00,2022-09-24T00:00:00.0000000Z,2022-09-25T00:00:00.0000000Z,2022-09-24T00:00:00.7636350Z,19286.03,19313.41,18805.1,18923.2,22041.14464404,517934
2022-09-25 23:59:59.770073+00:00,2022-09-25T00:00:00.0000000Z,2022-09-26T00:00:00.0000000Z,2022-09-25T00:00:00.0020000Z,18928.2,19186.0,18619.88,18808.61,20087.54008148,452006
2022-09-26 23:59:59.492000+00:00,2022-09-26T00:00:00.0000000Z,2022-09-27T00:00:00.0000000Z,2022-09-26T00:00:00.1478000Z,18806.3,19320.86,18681.02,19224.0,45078.56940483,725428
2022-09-27 23:59:59.997876+00:00,2022-09-27T00:00:00.0000000Z,2022-09-28T00:00:00.0000000Z,2022-09-27T00:00:00.0463790Z,19226.94,20383.15,18820.5,19077.57,74314.69408968,1059340
2022-09-28 23:59:59.914000+00:00,2022-09-28T00:00:00.0000000Z,2022-09-29T00:00:00.0000000Z,2022-09-28T00:00:00.0318900Z,19077.56,19807.0,18457.0,19400.0,65055.38392876,939878
2022-09-29 23:59:59.558159+00:00,2022-09-29T00:00:00.0000000Z,2022-09-30T00:00:00.0000000Z,2022-09-29T00:00:00.0267450Z,19412.37,19647.8,18844.5,19595.57,47350.79718028,796498
2022-09-30 23:59:59.948000+00:00,2022-09-30T00:00:00.0000000Z,2022-10-01T00:00:00.0000000Z,2022-09-30T00:00:00.0308520Z,19595.59,20186.0,19150.0,19425.2,53039.03479481,787973
2022-10-01 23:59:59.866618+00:00,2022-10-01T00:00:00.0000000Z,2022-10-02T00:00:00.0000000Z,2022-10-01T00:00:00.0330000Z,19425.1,19488.0,19158.0,19315.27,11662.84542563,572431
2022-10-02 23:59:59.981562+00:00,2022-10-02T00:00:00.0000000Z,2022-10-03T00:00:00.0000000Z,2022-10-02T00:00:00.0453220Z,19315.26,19399.0,18923.5,19059.17,18417.6584431,645908
2022-10-03 23:59:59.856745+00:00,2022-10-03T00:00:00.0000000Z,2022-10-04T00:00:00.0000000Z,2022-10-03T00:00:00.0791760Z,19059.1,19725.0,18958.29,19633.46,38824.65874508,1037318
2022-10-04 23:59:59.711045+00:00,2022-10-04T00:00:00.0000000Z,2022-10-05T00:00:00.0000000Z,2022-10-04T00:00:00.0412640Z,19632.43,20479.43,19495.32,20345.19,46193.74325088,955572
2022-10-05 23:59:59.556122+00:00,2022-10-05T00:00:00.0000000Z,2022-10-06T00:00:00.0000000Z,2022-10-05T00:00:00.0381340Z,20345.27,20371.15,19735.0,20161.62,46954.47197477,1039092
2022-10-06 23:59:59.945448+00:00,2022-10-06T00:00:00.0000000Z,2022-10-07T00:00:00.0000000Z,2022-10-06T00:00:00.4050090Z,20162.15,20455.79,19855.19,19965.64,54599.42030475,1023316
2022-10-07 23:59:59.696873+00:00,2022-10-07T00:00:00.0000000Z,2022-10-08T00:00:00.0000000Z,2022-10-07T00:00:00.0170000Z,19955.8,20078.0,19324.457,19533.05,46130.04683817,948924
2022-10-08 23:59:59.480815+00:00,2022-10-08T00:00:00.0000000Z,2022-10-09T00:00:00.0000000Z,2022-10-08T00:00:00.6535870Z,19531.68,19634.76,19190.0,19419.39,13335.56333848,482140
2022-10-09 23:59:59.881000+00:00,2022-10-09T00:00:00.0000000Z,2022-10-10T00:00:00.0000000Z,2022-10-09T00:00:00.0040000Z,19420.0,19604.0,19321.0,19443.5,16233.01621174,447211
2022-10-10 23:59:59.812435+00:00,2022-10-10T00:00:00.0000000Z,2022-10-11T00:00:00.0000000Z,2022-10-10T00:00:00.4314190Z,19442.7,19529.5,19028.08,19132.83,31903.80869358,641472
2022-10-11 23:59:59.531957+00:00,2022-10-11T00:00:00.0000000Z,2022-10-12T00:00:00.0000000Z,2022-10-11T00:00:00.3079270Z,19130.8,19265.69,18853.0,19058.11,41935.74041497,787328
2022-10-12 23:59:59.963544+00:00,2022-10-12T00:00:00.0000000Z,2022-10-13T00:00:00.0000000Z,2022-10-12T00:00:00.0190560Z,19058.42,19240.3,18937.3,19155.92,28512.080761,691491
2022-10-13 23:59:59.824780+00:00,2022-10-13T00:00:00.0000000Z,2022-10-14T00:00:00.0000000Z,2022-10-13T00:00:00.0337590Z,19153.97,19509.23,18131.0,19378.65,62898.04439705,993978
